Team,Rating_Sigmoid,Rating_Windmill,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Seagulls,57.85,3.24,226.28,3,20,11,9,0.55,0.5801966393578482,229,205,1.2,1.0,61,1
Jetset LUV,54.21,2.81,242.81,1,5,4,1,0.8,0.4454545454545455,64,54,2.0,1.0,22,0
Bristol,54.02,2.92,182.68,4,27,17,10,0.6296296296296297,0.5007211212957025,304,252,1.9259259259259258,1.0,65,1
Belgian Women @ Toms Tourney,51.54,2.96,128.2,1,7,4,3,0.5714285714285714,0.582766439909297,83,67,2.2857142857142856,1.0,23,0
LMU @ Spring Invite UK,49.81,3.29,165.73,1,6,4,2,0.6666666666666666,0.49437696806117853,80,63,2.8333333333333335,1.0,26,0
France Women @ Toms Tourney,49.37,2.74,146.7,1,8,5,3,0.625,0.5793111628709454,94,78,2.0,1.0,30,0
Tequila Boom Boom,45.51,2.28,216.18,2,11,8,3,0.7272727272727273,0.5079632323898946,139,123,1.4545454545454546,1.0,38,1
Spice,43.88,2.55,151.15,3,20,10,10,0.5,0.5344325021956601,211,194,0.85,1.0,42,1
GBWU24 @ London Invite,39.6,1.64,-7.99,1,5,1,4,0.2,0.5636363636363637,33,50,-3.4,1.0,10,0
Czech Women @ Toms Tourney,33.71,1.64,-32.1,1,8,3,5,0.375,0.5440929089026915,88,79,1.125,1.0,30,0
box vienna,32.03,1.37,107.12,4,21,11,10,0.5238095238095238,0.5442453229863565,246,249,-0.14285714285714285,1.0,65,1
LMU @ Toms Tourney,27.26,1.44,-9.2,1,7,6,1,0.8571428571428571,0.3332438238453276,91,61,4.285714285714286,1.0,22,0
JinX,25.96,1.02,69.98,3,23,14,9,0.6086956521739131,0.4780070642889233,261,256,0.21739130434782608,1.0,62,1
Spain Women @ Windmill,23.46,0.96,55.43,1,8,4,4,0.5,0.4822350794631924,90,93,-0.375,1.0,49,0
Gravity,20.4,0.89,-14.88,2,13,8,5,0.6153846153846154,0.47137207334575754,137,115,1.6923076923076923,1.0,40,1
Bordeaux Ultimate @ Toms Tourney,20.27,1.5,156.67,1,1,1,0,1.0,0.0,14,11,3.0,3.0,1,0
La SÃ©ptima @ Windmill,18.84,0.63,7.39,1,8,5,3,0.625,0.4077075771324864,86,82,0.5,1.0,40,0
SYC,18.79,0.6,18.84,3,19,10,9,0.5263157894736842,0.46313658640528443,188,183,0.2631578947368421,1.0,54,1
Reading 1 @ Spring Invite UK,17.16,1.05,-27.59,1,6,3,3,0.5,0.5437596841105613,74,73,0.16666666666666666,1.0,30,0
Helgtre @ Toms Tourney,13.41,1.0,107.09,1,1,1,0,1.0,0.0,15,13,2.0,2.0,1,0
Poland Women @ Windmill,12.0,0.27,-30.15,1,8,3,5,0.375,0.44629453365422556,87,89,-0.25,1.0,47,0
Germany U24 @ Toms Tourney,10.07,-0.19,-96.63,1,8,4,4,0.5,0.41964285714285715,105,80,3.125,1.0,23,0
NL Women @ Toms Tourney,9.05,0.09,-41.97,1,8,6,2,0.75,0.3698830409356725,102,81,2.625,1.0,22,0
Flame,7.14,-0.92,-110.19,1,7,4,3,0.5714285714285714,0.4800432093665176,64,62,0.2857142857142857,1.0,38,0
SMOG Women @ Spring Invite UK,-4.42,-0.62,-132.16,1,6,2,4,0.3333333333333333,0.5049382716049383,67,73,-1.0,1.0,30,0
Panthers Wroclaw - Women,-6.1,-1.11,-135.06,3,19,7,12,0.3684210526315789,0.4661013819815998,218,224,-0.3157894736842105,1.0,43,1
3SB - Women,-7.22,-1.29,-134.31,5,29,9,20,0.3103448275862069,0.5135726912309015,319,375,-1.9310344827586208,1.0,63,1
FABulous,-9.74,-1.64,-95.68,2,11,2,9,0.18181818181818182,0.6371282153754554,102,149,-4.2727272727272725,1.0,56,1
DESKEAGH @ Toms Tourney,-11.61,-1.48,-145.01,1,9,3,6,0.3333333333333333,0.600411556265866,87,110,-2.5555555555555554,1.0,34,0
Lillipuc,-12.31,-1.83,-197.52,1,5,1,4,0.2,0.4833333333333333,44,57,-2.6,1.0,18,0
AUC @ Toms Tourney,-13.41,-1.0,-107.09,1,1,0,1,0.0,1.0,13,15,-2.0,2.0,1,0
Electroclit @ Windmill,-15.8,-2.0,-150.67,1,8,3,5,0.375,0.43691953365422553,85,102,-2.125,1.0,48,0
DiscoBolo,-16.74,-2.08,-201.63,1,5,1,4,0.2,0.5595238095238095,44,62,-3.6,1.0,27,0
Family Ultimate @ Toms Tourney,-20.27,-1.5,-156.67,1,1,0,1,0.0,1.0,11,14,-3.0,3.0,1,0
Wuf.,-25.92,-2.85,-227.59,1,5,1,4,0.2,0.38636363636363635,48,63,-3.0,1.0,19,0
SY-See @ Spring Invite UK,-26.78,-2.35,-178.91,1,5,2,3,0.4,0.4586013645224171,47,56,-1.8,1.0,31,0
Catchup Women,-29.13,-2.58,-303.63,2,10,2,8,0.2,0.449521989404022,108,129,-2.1,1.0,44,1
Austria Women @ Toms Tourney,-31.06,-2.78,-273.92,1,9,3,6,0.3333333333333333,0.49659727014799476,83,108,-2.7777777777777777,1.0,26,0
SCRAM,-46.94,-3.71,-338.95,3,16,5,11,0.3125,0.4521135605924626,141,181,-2.5,1.0,49,1
GB U24 Women @ Toms Tourney,-54.93,-4.04,-400.1,1,8,3,5,0.375,0.35130625476735317,75,83,-1.0,1.0,32,0
Spain Women @ Toms Tourney,-66.83,-4.9,-529.4,1,8,1,7,0.125,0.47630625476735317,76,98,-2.75,1.0,32,0
Vertigo @ Toms Tourney,-80.47,-5.0,-300.0,1,1,0,1,0.0,1.0,5,15,-10.0,4.0,1,0
Chicas,-85.06,-5.87,-416.27,1,4,2,2,0.5,0.3345306513409962,36,46,-2.5,1.0,25,0
Horizon,-87.02,-5.18,-507.45,2,12,4,8,0.3333333333333333,0.4073826616041529,106,125,-1.5833333333333333,1.0,40,1
Cheetahs,-88.19,-6.96,-678.03,1,5,0,5,0.0,0.3612077214981026,39,69,-6.0,1.0,34,0
Frizzly Bears Women,-100.48,-7.49,-562.32,1,8,0,8,0.0,0.4937482373579292,53,116,-7.875,1.0,46,0
SY-Sea @ Spring Invite UK,-106.9,-5.01,-491.63,1,6,2,4,0.3333333333333333,0.49498746867167914,58,69,-1.8333333333333333,1.0,24,0
AUT U24 Women @ Vienna Spring Break 2023,-111.99,-7.08,-588.88,1,4,1,3,0.25,0.444078947368421,28,50,-5.5,1.0,24,0
Mantis,-118.83,-8.14,-753.21,1,3,0,3,0.0,0.3621031746031746,26,41,-5.0,1.0,24,0
German masters @ Toms Tourney,-124.73,-7.81,-579.43,1,7,1,6,0.14285714285714285,0.43528464017185825,49,93,-6.285714285714286,1.0,22,0
Zürich Ultimate Swarm,-141.23,-8.97,-869.16,1,3,0,3,0.0,0.48333333333333334,22,45,-7.666666666666667,1.0,15,0
Brighton @ Spring Invite UK,-189.65,-9.13,-654.65,1,6,2,4,0.3333333333333333,0.4879807692307692,46,70,-4.0,1.0,29,0
GB U20 Women Blue @ Spring Invite UK,-199.37,-8.44,-624.13,1,6,4,2,0.6666666666666666,0.4246031746031746,40,32,1.3333333333333333,1.0,17,0
Brixton @ Spring Invite UK,-200.81,-8.66,-709.06,1,6,3,3,0.5,0.38888888888888884,54,47,1.1666666666666667,1.0,16,0
GB U20 Women Red @ Spring Invite UK,-207.47,-8.45,-610.37,1,7,5,2,0.7142857142857143,0.35034013605442177,57,39,2.5714285714285716,1.0,14,0
Crazy Dogs,-240.82,-11.59,-779.44,1,8,0,8,0.0,0.5446428571428571,31,120,-11.125,1.0,23,0
Oxford Ultimate @ Spring Invite UK,-274.22,-13.39,-953.18,1,7,2,5,0.2857142857142857,0.3639455782312925,45,70,-3.5714285714285716,1.0,16,0
Chameleons,-334.03,-14.54,-1112.71,2,13,0,13,0.0,0.5078869717027612,46,169,-9.461538461538462,1.0,34,1
