Team,Rating_Sigmoid,Rating_Windmill,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Sturm und Drang,-90.55,-6.36,-580.44,1,5,2,3,0.4,0.4333014354066986,58,72,-2.8,1.0,31,0
NXT,-92.04,-6.75,-566.62,1,6,1,5,0.16666666666666666,0.5669934640522876,59,84,-4.166666666666667,1.0,23,0
Révolution'air,-94.33,-6.59,-615.08,1,5,0,5,0.0,0.43212234388704973,42,69,-5.4,1.0,49,0
Lahntalknaben,-95.22,-6.37,-571.84,1,5,2,3,0.4,0.26,70,61,1.8,1.0,13,0
Newcastle Brown,-98.87,-6.7,-533.32,1,5,2,3,0.4,0.3142857142857143,50,69,-3.8,1.0,40,0
SLOVENIA,-103.48,-6.65,-619.57,3,17,4,13,0.23529411764705882,0.4267650094093365,177,219,-2.4705882352941178,1.0,62,1
TUGA (Portugal Open) @ Windmill,-104.73,-7.34,-612.54,1,8,1,7,0.125,0.36755952380952384,66,114,-6.0,1.0,39,0
Reading Open,-113.42,-7.52,-651.85,1,6,1,5,0.16666666666666666,0.3904761904761905,59,85,-4.333333333333333,1.0,37,0
ESV München  @ Vienna Spring Break 2023,-116.23,-7.17,-771.71,1,4,0,4,0.0,0.5154411764705882,31,56,-6.25,1.0,29,0
Hard2Fisch,-128.66,-8.09,-664.29,2,10,1,9,0.1,0.46221983259707045,83,146,-6.3,1.0,57,1
Dublin Frisbee 7s,-129.24,-8.49,-713.26,1,5,1,4,0.2,0.3728138528138528,42,72,-6.0,1.0,22,0
DEAC FreeBees,-141.76,-8.32,-840.49,1,5,2,3,0.4,0.3294117647058824,51,48,0.6,1.0,20,0
Disckick,-145.05,-10.02,-811.73,1,5,1,4,0.2,0.34421052631578947,51,73,-4.4,1.0,26,0
ESV München,-158.14,-10.48,-811.64,1,1,0,1,0.0,0.4117647058823529,6,15,-9.0,1.0,15,0
Azvarlirea,-417.84,-19.65,-1440.48,1,5,0,5,0.0,0.39529411764705885,6,75,-13.8,1.0,20,0
