Team,Rating_Sigmoid,Rating_Windmill,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
DISConnection,75.94,4.16,337.94,3,20,15,5,0.75,0.4574068475384265,265,196,3.45,1.0,81,1
Tiefseetaucher,73.76,7.59,381.32,1,6,5,1,0.8333333333333334,0.5083333333333333,77,52,4.166666666666667,1.0,20,0
Monkey Grenoble,67.91,7.39,344.34,1,5,5,0,1.0,0.4661538461538462,71,49,4.4,1.0,23,0
Sesquidistus,65.72,4.67,291.79,2,13,8,5,0.6153846153846154,0.6028208633471791,168,140,2.1538461538461537,1.0,51,1
Finland Mixed @ Windmill,65.09,5.2,396.42,1,8,6,2,0.75,0.46875,84,77,0.875,1.0,35,0
Czech Republic Mixed @ Windmill,62.44,4.34,311.55,1,8,6,2,0.75,0.3950892857142857,100,74,3.25,1.0,39,0
Frizstyle FBF,55.19,1.45,202.22,1,8,2,6,0.25,0.6350328947368421,88,99,-1.375,1.0,62,0
Tartu Turbulence,52.24,1.92,252.51,1,6,3,3,0.5,0.6749999999999999,70,72,-0.3333333333333333,1.0,33,0
Switzerland Mixed @ Windmill,50.76,0.92,176.78,1,8,4,4,0.5,0.5304276315789473,92,80,1.5,1.0,40,0
Denmark Mixed @ Windmill,49.99,2.59,225.85,1,8,4,4,0.5,0.5169642857142858,80,90,-1.25,1.0,52,0
Nullacht! Ultimate,45.96,8.34,207.9,2,12,7,5,0.5833333333333334,0.6041666666666666,147,140,0.5833333333333334,1.0,47,1
Belgium Mixed @ Windmill,44.44,4.39,185.25,1,8,4,4,0.5,0.453125,92,87,0.625,1.0,40,0
Manchots,42.6,2.42,212.74,1,6,5,1,0.8333333333333334,0.42735042735042733,83,64,3.1666666666666665,1.0,15,0
EuroTrash @ Windmill,40.47,5.02,144.61,1,8,3,5,0.375,0.5983552631578948,82,96,-1.75,1.0,50,0
Left Overs,39.3,1.95,276.44,2,12,9,3,0.75,0.5006493506493507,131,95,3.0,1.0,36,1
Smog,38.72,1.09,122.01,3,19,7,12,0.3684210526315789,0.5891884431358116,202,225,-1.2105263157894737,1.0,76,1
New Age Mix,38.63,4.23,100.47,1,8,2,6,0.25,0.5577302631578948,86,94,-1.0,1.0,54,0
FRuBB,32.56,2.34,146.64,3,20,12,8,0.6,0.49156926406926404,227,214,0.65,1.0,63,1
Bremen Ultimate,25.8,4.2,90.92,3,20,12,8,0.6,0.5219642857142858,228,199,1.45,1.0,59,1
HORANGI,19.54,0.28,-5.32,1,8,2,6,0.25,0.515625,87,92,-0.625,1.0,39,0
AKS ZŁY ULTIMATE,17.51,1.2,100.75,1,5,3,2,0.6,0.6,60,59,0.2,1.0,18,0
PELT,17.45,2.27,107.7,1,6,3,3,0.5,0.6194805194805194,55,54,0.16666666666666666,1.0,29,0
KS FLOW WROCŁAW,12.26,-0.17,64.16,2,11,6,5,0.5454545454545454,0.632939787485242,107,109,-0.18181818181818182,1.0,35,1
Mosquitos,11.93,1.0,51.38,2,11,5,6,0.45454545454545453,0.49540172745914374,126,132,-0.5454545454545454,1.0,63,1
Spinners @ G-Spot,11.05,3.45,62.71,1,8,5,3,0.625,0.5896329365079365,80,65,1.875,1.0,42,0
Pampered cats @ Windmill,10.34,-1.11,62.26,1,8,4,4,0.5,0.5357142857142857,84,90,-0.75,1.0,46,0
Glasgow Mixed,9.71,0.05,-57.51,1,5,3,2,0.6,0.4710047846889952,56,48,1.6,1.0,27,0
PUC,8.12,1.33,-16.29,2,14,4,10,0.2857142857142857,0.5918798306956202,134,178,-3.142857142857143,1.0,64,1
Too Many Cooks,6.81,0.62,36.5,2,16,10,6,0.625,0.5120763647901806,170,162,0.5,1.0,68,1
Jetset Simba's @ G-Spot,6.42,1.27,-17.45,1,9,6,3,0.6666666666666666,0.44638787138787134,105,68,4.111111111111111,1.0,51,0
Belgium Mixed @ G-Spot,4.57,1.02,0.46,1,7,5,2,0.7142857142857143,0.5738095238095238,69,58,1.5714285714285714,1.0,37,0
Savage Ultimate,4.34,-1.2,38.2,2,11,9,2,0.8181818181818182,0.41631247540338445,133,101,2.909090909090909,1.0,32,1
Colorado,-1.37,-1.31,-65.22,1,6,3,3,0.5,0.45555555555555555,66,69,-0.5,1.0,31,0
Mainzelrenner,-2.15,0.36,100.84,1,9,7,2,0.7777777777777778,0.47500000000000003,94,70,2.6666666666666665,1.0,36,0
Hucks Ultimate Club Berlin,-4.11,-3.88,-74.78,1,6,2,4,0.3333333333333333,0.47500000000000003,65,67,-0.3333333333333333,1.0,24,0
Malmö Ultimate Club,-5.52,-1.05,-49.78,1,6,4,2,0.6666666666666666,0.27976190476190477,68,48,3.3333333333333335,1.0,20,0
U24 Germany Mixed @ G-Spot,-9.85,0.56,30.33,1,8,5,3,0.625,0.5271863553113554,73,60,1.625,1.0,34,0
Hässliche Erdferkel,-9.99,-1.52,-73.06,1,7,4,3,0.5714285714285714,0.533147804576376,65,65,0.0,1.0,30,0
Force Elektro MXD,-15.11,-2.05,-33.7,2,16,10,6,0.625,0.45204608074673863,149,136,0.8125,1.0,71,1
RJP,-15.32,-4.2,-120.19,1,7,4,3,0.5714285714285714,0.49180581323438466,68,67,0.14285714285714285,1.0,18,0
FucZH,-19.27,-1.52,-122.17,2,12,6,6,0.5,0.5571969696969697,128,141,-1.0833333333333333,1.0,28,0
Disckatus Ultimate Madrid @ Windmill,-20.13,2.23,-121.26,1,8,2,6,0.25,0.44031954887218044,75,96,-2.625,1.0,47,0
Gentle Mixed,-21.97,-1.92,-176.34,2,12,7,5,0.5833333333333334,0.4038961038961039,133,126,0.5833333333333334,1.0,56,1
Zoom Ultimate,-23.22,-0.22,-176.61,2,10,5,5,0.5,0.42772727272727273,93,92,0.1,1.0,31,1
Catchup Mixed,-27.35,0.5,-182.2,1,6,3,3,0.5,0.46136363636363636,77,67,1.6666666666666667,1.0,26,0
Fireball Ultimate,-29.0,-2.12,-197.11,1,6,4,2,0.6666666666666666,0.43566433566433566,50,46,0.6666666666666666,1.0,22,0
Shopski Otryad,-30.23,-0.19,-297.02,1,5,3,2,0.6,0.3838228438228438,53,44,1.8,1.0,19,0
Steamhuck,-32.79,-3.23,-164.02,2,13,6,7,0.46153846153846156,0.4536630036630036,131,133,-0.15384615384615385,1.0,50,1
Free Spirits @ G-Spot,-34.04,-4.27,-159.02,1,9,5,4,0.5555555555555556,0.5166666666666667,72,72,0.0,1.0,41,0
SMOG 2,-36.03,-9.17,-198.49,1,5,2,3,0.4,0.47144644828855353,50,58,-1.6,1.0,29,0
OldSchool,-39.57,0.23,-281.92,1,6,3,3,0.5,0.48162393162393163,58,58,0.0,1.0,19,0
Seitensprung @ G-Spot,-40.48,-4.41,-190.35,1,9,4,5,0.4444444444444444,0.5166666666666667,79,75,0.4444444444444444,1.0,36,0
Kingdom of Raptors @ Windmill,-43.51,-3.8,-233.46,1,8,2,6,0.25,0.47197802197802197,82,98,-2.0,1.0,61,0
AUT BeeFire,-44.17,-3.58,-281.85,1,6,2,4,0.3333333333333333,0.4247863247863248,64,74,-1.6666666666666667,1.0,23,0
Maultaschen,-44.75,-4.23,-333.09,1,6,1,5,0.16666666666666666,0.5111111111111111,54,78,-4.0,1.0,31,0
Prague Devils,-48.55,0.62,-399.97,1,6,2,4,0.3333333333333333,0.5205627705627706,49,61,-2.0,1.0,17,0
DiscoBolo,-48.74,-1.7,-320.18,1,5,1,4,0.2,0.46974358974358976,52,63,-2.2,1.0,20,0
TV Bad Rappenau,-49.91,-3.23,-346.19,1,5,1,4,0.2,0.42000000000000004,48,60,-2.4,1.0,19,0
Fusion Falcons Ultimate Club,-55.48,-3.55,-256.96,1,8,1,7,0.125,0.521978021978022,65,96,-3.875,1.0,45,0
Rainbow Brigade @ Windmill,-57.42,-3.64,-323.03,1,8,3,5,0.375,0.3392857142857143,78,93,-1.875,1.0,39,0
Friss die Frisbee @ G-Spot,-58.14,-2.58,-315.12,1,9,3,6,0.3333333333333333,0.5302469135802469,79,88,-1.0,1.0,37,0
OUT,-59.06,-5.36,-269.39,1,6,3,3,0.5,0.48636363636363633,59,69,-1.6666666666666667,1.0,29,0
FlyHigh,-62.69,-4.5,-356.61,3,20,8,12,0.4,0.4000747863247863,203,222,-0.95,1.0,52,1
Netherlands Master Mixed @ G-Spot,-62.74,-6.78,-285.64,1,8,4,4,0.5,0.4768429487179487,71,71,0.0,1.0,34,0
Norway Mixed @ Windmill,-63.08,-5.69,-326.28,1,8,3,5,0.375,0.396978021978022,73,96,-2.875,1.0,42,0
Transylvania Ultimate,-70.43,-6.58,-519.79,2,11,1,10,0.09090909090909091,0.5191853600944509,87,119,-2.909090909090909,1.0,20,0
ZomBees,-77.97,-5.31,-435.46,3,20,7,13,0.35,0.4526839826839827,180,226,-2.3,1.0,73,1
Antwerp Mixed,-81.36,-8.73,-391.06,1,8,4,4,0.5,0.4326923076923077,69,73,-0.5,1.0,26,0
LoL Mixed Ultimate Team,-82.26,-7.78,-423.87,1,8,2,6,0.25,0.396978021978022,66,100,-4.25,1.0,44,0
BN1,-84.52,-2.36,-419.77,1,5,2,3,0.4,0.5110047846889951,43,63,-4.0,1.0,27,0
Owls UC,-84.72,-8.61,-541.6,2,12,1,11,0.08333333333333333,0.5568722943722944,95,151,-4.666666666666667,1.0,56,1
Scorillaz @ G-Spot,-85.12,-8.11,-421.2,1,8,3,5,0.375,0.5181623931623931,60,74,-1.75,1.0,25,0
DTU,-86.41,-6.09,-458.32,2,14,3,11,0.21428571428571427,0.42106227106227107,117,180,-4.5,1.0,56,1
Oxford Ultimate,-87.1,-7.08,-435.43,2,13,6,7,0.46153846153846156,0.45462213225371123,117,138,-1.6153846153846154,1.0,42,1
CUS Bergamo Ultimate,-90.75,-7.64,-563.43,1,5,0,5,0.0,0.4533333333333333,51,72,-4.2,1.0,19,0
Belgium U20 Mixed @ G-Spot,-92.83,-2.64,-434.7,1,9,4,5,0.4444444444444444,0.35246913580246914,71,83,-1.3333333333333333,1.0,39,0
Seahawks Ultimate,-93.16,-9.92,-643.69,1,5,1,4,0.2,0.3563636363636363,41,58,-3.4,1.0,14,0
W.underteam @ G-Spot,-102.35,-4.98,-542.68,1,9,2,7,0.2222222222222222,0.46820987654320984,62,91,-3.2222222222222223,1.0,39,0
Bonnsai,-110.43,-9.86,-511.5,1,5,0,5,0.0,0.5433333333333333,26,66,-8.0,1.0,24,0
Thundering Herd,-112.82,-9.05,-474.43,1,5,1,4,0.2,0.4591387559808613,40,64,-4.8,1.0,23,0
Rubber Duckies,-131.81,-8.16,-721.49,1,5,0,5,0.0,0.5245454545454545,37,70,-6.6,1.0,31,0
HoneyMoon,-132.58,-12.86,-687.81,1,6,1,5,0.16666666666666666,0.46691919191919196,41,82,-6.833333333333333,1.0,46,0
AUC Mxxxd,-147.63,-6.42,-794.44,1,8,0,8,0.0,0.40104166666666663,39,81,-5.25,1.0,45,0
Citadel Ultimate Frisbee @ G-Spot,-151.63,-7.12,-676.59,1,8,1,7,0.125,0.4972718253968254,38,94,-7.0,1.0,29,0
Flyght Mixed,-153.07,-3.78,-852.66,1,5,1,4,0.2,0.3996761133603239,40,58,-3.6,1.0,29,0
Nemesis,-167.43,-6.41,-835.61,1,5,2,3,0.4,0.3177622377622378,43,62,-3.8,1.0,21,0
Zoo,-198.97,-8.45,-1000.59,1,5,0,5,0.0,0.49594405594405594,32,68,-7.2,1.0,22,0
